canonical_path,duplicate_path,bytes,sha256,evidence,scope,canonical_mtime_ns,canonical_dev,canonical_ino,duplicate_mtime_ns,duplicate_dev,duplicate_ino
legacy_asr:AliMeeting/Train_Ali_far/audio_dir/R1019_M1989_MS108.wav,alimeeting_far_raw:Train_Ali_far/audio_dir/R1019_M1989_MS108.wav,639897264,8acf65be8e081f5e3133c6ae02ff1ed11de6a13ab91a0ec64da17d67c5da9c39,fresh_sha256_both_files,alimeeting_source,1639230687000000000,184,796759541,1639230687000000000,184,325589428
legacy_asr:AliMeeting/Train_Ali_far/audio_dir/R1019_M1998_MS103.wav,alimeeting_far_raw:Train_Ali_far/audio_dir/R1019_M1998_MS103.wav,622317008,2523f74baec939820b5590cbfa4e92826282b1e4593f341c96ad0b00754ac3dc,fresh_sha256_both_files,alimeeting_source,1639230767000000000,184,796759545,1639230767000000000,184,325589433
legacy_asr:AliMeeting/Train_Ali_far/audio_dir/R1019_M4013_MS108.wav,alimeeting_far_raw:Train_Ali_far/audio_dir/R1019_M4013_MS108.wav,615448400,cf75526acf380bed628b13f510b70cc114d24a0d8323a8b0a670b4adf143cb88,fresh_sha256_both_files,alimeeting_source,1639230859000000000,184,796759550,1639230859000000000,184,325589439
legacy_asr:AliMeeting/Train_Ali_far/audio_dir/R1019_M4017_MS103.wav,alimeeting_far_raw:Train_Ali_far/audio_dir/R1019_M4017_MS103.wav,615231520,46d5b9765c82311241bfc13178c04fb0d45ce015cde85ccdf4c6a64bda90f2cb,fresh_sha256_both_files,alimeeting_source,1639230900000000000,184,796825088,1639230900000000000,184,325589441
legacy_asr:AliMeeting/Train_Ali_far/audio_dir/R1019_M1948_MS107.wav,alimeeting_far_raw:Train_Ali_far/audio_dir/R1019_M1948_MS107.wav,606543952,92f98f07ba9f49530c9fcbda98e05968231a9436a07125ba4be7ba3b3ce76f99,fresh_sha256_both_files,alimeeting_source,1639230363000000000,184,796759523,1639230363000000000,184,325589409
legacy_asr:AliMeeting/Train_Ali_far/audio_dir/R2001_M2205_MS204.wav,alimeeting_far_raw:Train_Ali_far/audio_dir/R2001_M2205_MS204.wav,605300576,6439358826a78fc95a159af6d697ac157ab02e2946aba27c23102defd617cae7,fresh_sha256_both_files,alimeeting_source,1639230025000000000,184,796825130,1639230025000000000,184,325655060
legacy_asr:AliMeeting/Train_Ali_far/audio_dir/R2001_M2206_MS203.wav,alimeeting_far_raw:Train_Ali_far/audio_dir/R2001_M2206_MS203.wav,594606176,45e2462e8559e203248865b5a23f6b84b6473d85c8f447890edd3cacca6a8d5f,fresh_sha256_both_files,alimeeting_source,1639230047000000000,184,796825131,1639230047000000000,184,325655062
legacy_asr:AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,alimeeting_far_raw:Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,573304528,aa22327ef996a60166fe2c4d8a7fa152be8dd5246e24fc38084e61208dbc5feb,fresh_sha256_both_files,alimeeting_source,1639226961000000000,184,796759364,1639226961000000000,184,727174571
legacy_asr:AliMeeting/Train_Ali_far/audio_dir/R1019_M1971_MS103.wav,alimeeting_far_raw:Train_Ali_far/audio_dir/R1019_M1971_MS103.wav,570787824,94992abacad3318b4eafdaf66c27da6636c15d8b7b0555d34af4f00587201d23,fresh_sha256_both_files,alimeeting_source,1639230557000000000,184,796759534,1639230557000000000,184,325589420
legacy_asr:AliMeeting/Train_Ali_far/audio_dir/R0008_M0051_MS002.wav,alimeeting_far_raw:Train_Ali_far/audio_dir/R0008_M0051_MS002.wav,564064080,5a8590210a82061078dcdd2395d59f54f3a9b2bdfc37442274ea144f1c83d06d,fresh_sha256_both_files,alimeeting_source,1639228014000000000,184,796759413,1639228014000000000,184,324799971
legacy_asr:AliMeeting/Train_Ali_far/audio_dir/R1019_M4026_MS103.wav,alimeeting_far_raw:Train_Ali_far/audio_dir/R1019_M4026_MS103.wav,562511648,ecb1f3957e35e5176567d0707f612f7f29cd78fbf719adbb4d4c2bdae655cb41,fresh_sha256_both_files,alimeeting_source,1639230956000000000,184,796825091,1639230956000000000,184,325589445
legacy_asr:AliMeeting/Train_Ali_far/audio_dir/R1019_M1993_MS108.wav,alimeeting_far_raw:Train_Ali_far/audio_dir/R1019_M1993_MS108.wav,553083552,9b279f72c168c86dd51d36b148d9bcc1526e0d8d3ff461f326fc631097cc0d36,fresh_sha256_both_files,alimeeting_source,1639230706000000000,184,796759542,1639230706000000000,184,325589430
legacy_asr:AliMeeting/Train_Ali_far/audio_dir/R0014_M0099_MS004.wav,alimeeting_far_raw:Train_Ali_far/audio_dir/R0014_M0099_MS004.wav,546511440,b7a76a37d7348bb14996a0cb4a5697096d33e3e81af7b84ce00b02ca57e2e7a9,fresh_sha256_both_files,alimeeting_source,1639228695000000000,184,796759449,1639228695000000000,184,325063108
legacy_asr:AliMeeting/Train_Ali_far/audio_dir/R0003_M0047_MS006.wav,alimeeting_far_raw:Train_Ali_far/audio_dir/R0003_M0047_MS006.wav,546345552,328966d995673ad7f426e4f55de808497b7fc2e3a41406b30790062f6051f167,fresh_sha256_both_files,alimeeting_source,1639227796000000000,184,796759401,1639227796000000000,184,324799958
legacy_asr:AliMeeting/Train_Ali_far/audio_dir/R1019_M4059_MS107.wav,alimeeting_far_raw:Train_Ali_far/audio_dir/R1019_M4059_MS107.wav,546156576,b24523c64af273c9373feed9058ebbf09ce33dc59e2c17525eaeccd53867e3cc,fresh_sha256_both_files,alimeeting_source,1639231232000000000,184,796825105,1639231232000000000,184,325589488
